no,nama,posisi,usia,market value,klub,negara,tingggi,kontrak berakhir,penampilan,gol,asis,menit bermain,penampilan tim nasional,gol tim nasional,sisa bulan
60,Taty Castellanos,Depan-Tengah,27,"Rp434,54Mlyr.",West Ham,Argentina,178,6/30/2030,16,3,3,1118,2,0,52
61,Lorenzo Lucca,Depan-Tengah,25,"Rp434,54Mlyr.",Nottingham Forest,Italia,201,6/30/2026,23,2,0,595,5,0,4
62,Alex Iwobi,Sayap Kiri,29,"Rp434,54Mlyr.",Fulham,Nigeria,183,6/30/2028,19,2,2,1479,97,10,28
63,Rodrigo Muniz,Depan-Tengah,24,"Rp434,54Mlyr.",Fulham,Brasil,186,6/30/2030,9,1,1,382,0,0,52
64,Joshua Zirkzee,Depan-Tengah,24,"Rp434,54Mlyr.",Manchester United,Belanda,193,6/30/2029,16,2,1,518,6,1,40
65,Charalampos Kostoulas,Depan-Tengah,18,"Rp434,54Mlyr.",Brighton,Yunani,185,6/30/2030,18,3,1,300,2,0,52
66,Wilson Odobert,Sayap Kiri,21,"Rp382,40Mlyr.",Spurs,Prancis,182,6/30/2029,30,2,5,1520,0,0,40
67,Simon Adingra,Sayap Kiri,24,"Rp382,40Mlyr.",Sunderland,Pantai Gading,175,6/30/2030,15,1,1,729,26,4,52
68,Chemsdine Talbi,Sayap Kanan,20,"Rp382,40Mlyr.",Sunderland,Maroko,175,6/30/2030,17,2,2,932,3,0,52
69,Crysencio Summerville,Sayap Kiri,24,"Rp382,40Mlyr.",West Ham,Belanda,174,6/30/2029,19,3,4,1448,0,0,40
70,Tolu Arokodare,Depan-Tengah,25,"Rp382,40Mlyr.",Wolves,Nigeria,197,6/30/2029,27,5,1,965,10,2,40
71,Tyrique George,Sayap Kiri,19,"Rp382,40Mlyr.",Chelsea,Inggris,181,6/30/2027,11,3,1,492,0,0,16
72,Eli Kroupi,Depan-Tengah,19,"Rp382,40Mlyr.",Bournemouth,Prancis,179,6/30/2030,20,7,0,869,0,0,52
73,Stefanos Tzimas,Depan-Tengah,20,"Rp382,40Mlyr.",Brighton,Yunani,186,6/30/2030,13,3,2,339,0,0,52
74,Leandro Trossard,Sayap Kiri,31,"Rp347,63Mlyr.",Arsenal,Belgia,172,6/30/2027,28,7,7,1658,50,11,16
75,Gabriel Jesus,Depan-Tengah,28,"Rp347,63Mlyr.",Arsenal,Brasil,175,6/30/2027,14,3,1,486,64,19,16
